source,target,source_depth,target_depth
https://www.gdao.org,https://www.gdao.org/,0,1
https://www.gdao.org,https://www.gdao.org/about,0,1
https://www.gdao.org,https://www.gdao.org/exhibits,0,1
https://www.gdao.org,https://www.gdao.org/help,0,1
https://www.gdao.org,https://www.gdao.org/shows,0,1
https://www.gdao.org,https://www.gdao.org/milestones,0,1
https://www.gdao.org,https://www.gdao.org/artists,0,1
https://www.gdao.org,https://www.gdao.org/selected-media,0,1
https://www.gdao.org,https://www.gdao.org/fan-art,0,1
https://www.gdao.org,https://www.gdao.org/solr-search,0,1
https://www.gdao.org,https://www.gdao.org/items/show/830368,0,1
https://www.gdao.org,https://www.gdao.org/policies,0,1
https://www.gdao.org,https://www.gdao.org/credits,0,1
https://www.gdao.org,mailto://grateful@ucsc.edu,0,1
https://www.gdao.org/,https://www.gdao.org/items/show/1696478,1,2
https://www.gdao.org/about,https://www.gdao.org/page/policies,1,2
https://www.gdao.org/about,https://www.gdao.org/contribution,1,2
https://www.gdao.org/exhibits,https://www.gdao.org/items/show/831072,1,2
https://www.gdao.org/exhibits,https://www.gdao.org/exhibits/show/europe-72,1,2
https://www.gdao.org/exhibits,https://www.gdao.org/items/show/386978,1,2
https://www.gdao.org/exhibits,https://www.gdao.org/exhibits/show/posters,1,2
https://www.gdao.org/exhibits,https://www.gdao.org/items/show/1696620,1,2
https://www.gdao.org/exhibits,https://www.gdao.org/exhibits/show/loveonhaight,1,2
https://www.gdao.org/help,http://www.gdao.org,1,2
https://www.gdao.org/help,http://www.gdao.org/items/show/834828,1,2
https://www.gdao.org/help,http://www.gdao.org/items/show/828871,1,2
https://www.gdao.org/help,http://www.gdao.org/items/show/834954,1,2
https://www.gdao.org/help,http://www.gdao.org/items/show/833345,1,2
https://www.gdao.org/help,http://www.gdao.org/items/show/833352,1,2
https://www.gdao.org/help,http://www.gdao.org/items/show/512641,1,2
https://www.gdao.org/help,http://www.gdao.org/items/show/834953,1,2
https://www.gdao.org/help,http://www.gdao.org/items/show/828849,1,2
https://www.gdao.org/help,http://www.gdao.org/items/show/513185,1,2
https://www.gdao.org/help,http://www.gdao.org/items/show/831470,1,2
https://www.gdao.org/help,http://www.gdao.org/items/show/835052,1,2
https://www.gdao.org/help,http://www.gdao.org/items/show/377506,1,2
https://www.gdao.org/help,http://www.gdao.org/items/show/391490,1,2
https://www.gdao.org/help,https://www.gdao.org/items/show/381442,1,2
https://www.gdao.org/help,http://www.gdao.org/about,1,2
https://www.gdao.org/help,http://www.gdao.org/items/show/830757,1,2
https://www.gdao.org/selected-media,https://www.gdao.org/items/show/201441,1,2
https://www.gdao.org/selected-media,https://www.gdao.org/items/show/197793,1,2
https://www.gdao.org/selected-media,https://www.gdao.org/items/show/373601,1,2
https://www.gdao.org/selected-media,https://www.gdao.org/items/show/222785,1,2
https://www.gdao.org/selected-media,https://www.gdao.org/items/show/803076,1,2
https://www.gdao.org/selected-media,https://www.gdao.org/items/show/375875,1,2
https://www.gdao.org/selected-media,https://www.gdao.org/items/show/375907,1,2
https://www.gdao.org/selected-media,https://www.gdao.org/items/show/375971,1,2
https://www.gdao.org/selected-media,https://www.gdao.org/items/show/378627,1,2
https://www.gdao.org/selected-media,https://www.gdao.org/items/show/378051,1,2
https://www.gdao.org/items/show/830368,https://www.gdao.org/files/original/38e4e1bc77e7ca4d1f3d66cb18839f3995652527.jpg,1,2
