url,depth,in_degree,out_degree
https://www.gdao.org,0,0,14
https://www.gdao.org/,1,1,1
https://www.gdao.org/about,1,1,2
https://www.gdao.org/exhibits,1,1,6
https://www.gdao.org/help,1,1,17
https://www.gdao.org/shows,1,1,0
https://www.gdao.org/milestones,1,1,0
https://www.gdao.org/artists,1,1,0
https://www.gdao.org/selected-media,1,1,10
https://www.gdao.org/fan-art,1,1,0
https://www.gdao.org/solr-search,1,1,0
https://www.gdao.org/items/show/830368,1,1,1
https://www.gdao.org/policies,1,1,0
https://www.gdao.org/credits,1,1,0
mailto://grateful@ucsc.edu,1,1,0
https://www.gdao.org/items/show/1696478,2,1,0
https://www.gdao.org/page/policies,2,1,0
https://www.gdao.org/contribution,2,1,0
https://www.gdao.org/items/show/831072,2,1,0
https://www.gdao.org/exhibits/show/europe-72,2,1,0
https://www.gdao.org/items/show/386978,2,1,0
https://www.gdao.org/exhibits/show/posters,2,1,0
https://www.gdao.org/items/show/1696620,2,1,0
https://www.gdao.org/exhibits/show/loveonhaight,2,1,0
http://www.gdao.org,2,1,0
http://www.gdao.org/items/show/834828,2,1,0
http://www.gdao.org/items/show/828871,2,1,0
http://www.gdao.org/items/show/834954,2,1,0
http://www.gdao.org/items/show/833345,2,1,0
http://www.gdao.org/items/show/833352,2,1,0
http://www.gdao.org/items/show/512641,2,1,0
http://www.gdao.org/items/show/834953,2,1,0
http://www.gdao.org/items/show/828849,2,1,0
http://www.gdao.org/items/show/513185,2,1,0
http://www.gdao.org/items/show/831470,2,1,0
http://www.gdao.org/items/show/835052,2,1,0
http://www.gdao.org/items/show/377506,2,1,0
http://www.gdao.org/items/show/391490,2,1,0
https://www.gdao.org/items/show/381442,2,1,0
http://www.gdao.org/about,2,1,0
http://www.gdao.org/items/show/830757,2,1,0
https://www.gdao.org/items/show/201441,2,1,0
https://www.gdao.org/items/show/197793,2,1,0
https://www.gdao.org/items/show/373601,2,1,0
https://www.gdao.org/items/show/222785,2,1,0
https://www.gdao.org/items/show/803076,2,1,0
https://www.gdao.org/items/show/375875,2,1,0
https://www.gdao.org/items/show/375907,2,1,0
https://www.gdao.org/items/show/375971,2,1,0
https://www.gdao.org/items/show/378627,2,1,0
https://www.gdao.org/items/show/378051,2,1,0
https://www.gdao.org/files/original/38e4e1bc77e7ca4d1f3d66cb18839f3995652527.jpg,2,1,0
